ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
1,0,,7.96E+017,11/8/2016 21:16:00,,,"U.S.  Presidential Election series Trump, Clinton,Obama wins big, Rubio...?",http://dlvr.it/McsnVJ,aunewse,,
2,138,,7.96E+017,4/29/2016 3:48:00,,1077524611,"If Trump wins the presidential election, I'll make a logo for whoever RTs this tweet.",,EarthHunther,,
3,7,,7.96E+017,11/8/2016 20:25:00,,7.81E+017,Insanely Accurate' Election Model Has Been Wrong Only Once Since 1912. Guess Who It Says is The Winner?,,NotWithH,,
4,286,ThatsMyGirlHillary,7.96E+017,11/8/2016 5:49:00,,3164940335,"If you're eligible to vote in the US Presidential Election, make sure you hit up the polls TODAY ",,5HLaurenizer,,
5,24,,7.96E+017,11/8/2016 20:41:00,,67119855,Trump’s “rigged election” claims aren’t new. Conservatives have waged war on electoral democracy since its inception,,lans0007,,
6,5,,7.96E+017,11/8/2016 21:13:00,,7.05E+017,Donald Trump got his Twitter confiscated and Obama destroyed him over it,https://www.indy100.com/article/donald-trump-barack-obama-twitter-rage-insults-joke-presidential-election-nuclear-codes-7402071,BearyJoseph,,
7,29,,7.96E+017,11/8/2016 20:41:00,,493915391,"This is the 5th time I voted in a presidential election, but the 1st time I voted with my vagina

And now there's a pen stuck in there. Fuck",,ThePocketJustin,,
8,20,,7.96E+017,11/8/2016 17:53:00,,334184144,"BREAKING: Sources say if Jim Harbaugh wins Presidential election (write-in candidate), he'll anoint Don Brown as Secretary of Defense",,mowo12,,
9,0,,7.96E+017,11/8/2016 21:16:00,,,What You Wore on Election Day,http://www.nytimes.com/2016/11/08/fashion/presidential-election-voting-reader-fashion.html?partner=rss&emc=rss&YgPzp,ArchitechSocial,,
10,1,,7.96E+017,11/8/2016 21:12:00,,214203337,"""I can say without doubt that the 2016 U.S. Presidential election is the worst video game I’ve ever played. """,,lolbutter,,
11,0,,7.96E+017,11/8/2016 21:16:00,,,"I'm gonna be pissed if Hillary Clinton wins the presidential election, and that's all I gotta say.",,rhiannonlaverne,,
12,0,,7.96E+017,11/8/2016 21:16:00,,,Third-Party Exit Poll Results: How Are Gary Johnson,http://heavy.com/news/2016/11/third-party-exit-polls-gary-johnson-jill-stein-results-percentages-polling-presidential-election-early-returns-mcmullin-bernie-florida-iowa-new-hampshire-ohio-vermont-state/,rfieldsster,,
13,0,,7.96E+017,11/8/2016 21:16:00,,,"When I said “third time voting here”, I meant third Presidential election (since 2008) — not “third time” voting TO…",https://twitter.com/i/web/status/796099145912188928,StephanieWei,,
14,376,,7.96E+017,11/8/2016 17:38:00,,482704449,"""And the winner of the 2016 presidential election is... Donald Trump""
Immigrants: ",,GayVersaceDolls,,
15,14,,7.96E+017,11/8/2016 15:50:00,,3166773815,"Mrs. T.H. Fresdahl, 82, who ""never missed voting in a presidential election since woman suffrage became effective""…",,Boston_archives,,
16,0,,7.96E+017,11/8/2016 21:16:00,,,ABC News presidential election results map,http://correctdude.com/abc-news-presidential-election-results-map/,CorrectDudeNews,,
17,469,,7.96E+017,11/8/2016 19:21:00,,632279524,Most undercovered story of 2016: today is 1st presidential election in 50 years without full protections of Voting…,,MessFixing,,
18,1588,,7.96E+017,11/7/2016 20:16:00,,336703339,Love how America is waiting for the presidential election and we're waiting to watch celebrities eat kangaroo bollocks again,,ImogennLeach,,
19,0,,7.96E+017,11/8/2016 21:16:00,,,Hypothetical Presidential Election:,http://correctdude.com/abc-news-presidential-election-results-map/,_tylereads,,
20,23,,7.96E+017,11/8/2016 22:00:00,,480586426,Donald Trump's reckless foreign policy could unleash chaos,http://econ.st/2eGradY,raemadema,,
