,tweetID,sentID,hashtags,user,usertype,TweetSentence,phase1Candidates
0,1,0,nan,PabloPMkt,Z,"""Trump Shifts Course on Egypt, Praising Its Authoritarian Leader"" by PETER BAKER and DECLAN WALSH via NYT","""Trump Shifts Course on Egypt|| Praising|| NYT|| "
1,2,0,"TrumpRussia, TheResistance",NoAltFacts1984,Z,"""Trump Shifts Course on Egypt, Praising Its Authoritarian Leader"" by PETER BAKER and DECLAN WALSH via NYT",
2,3,0,nan,FlowerInFaith,Z,@SallyAlbright @keywest0007 BS is as motivated by his image in the mirror as Trump is.,BS|| Trump|| 
3,3,1,nan,FlowerInFaith,Z,"Of course, this ""show"" will bash Dems &; praise the knuckledraggers who voted 4 DT",Dems|| 4 DT|| 
4,4,0,"SusanRice, STFULyinTrump",frills87,Z,was doing her job.,
5,4,1,"SusanRice, STFULyinTrump",frills87,Z,Donald Trump is covering his ass.,Donald Trump|| 
6,5,0,nan,ielusivemusei,Z,Trump must be fond of men with larger hands than him.,
7,5,1,nan,ielusivemusei,Z,Strong women?,
8,5,2,nan,ielusivemusei,Z,Not so much.,
9,6,0,nan,BoloBoffin,Z,@CNN @tedcruz I think we'd be good with Merrick Garland as the first one.,Merrick Garland|| 
10,6,1,nan,BoloBoffin,Z,Then let Trump nominate who he likes after.,Trump|| 
11,7,0,nan,SIIPCampaigns,Z,@SenSanders @FSarak Neither is tweeting,Neither|| 
12,8,0,nan,CindyDPishere,Z,"So that excuses him for calling a guy who rigged elections &; violates human rts ""fantastic""?",
13,8,1,nan,CindyDPishere,Z,"Wake up, @nikkihaley !",
14,9,0,nan,adbeau,Z,Dear women: You can’t read.,
15,9,1,nan,adbeau,Z,Your hair looks bad.,
16,9,2,nan,adbeau,Z,And stop shaking your head.,
17,10,0,nan,stylesjdb,Z,Am i the only one who thinks malania trump is a little weird looking,
18,11,0,nan,UrsusMaritimu53,Z,@GOP - yet another species you want 2 exterminate from our planet.,
19,12,0,nan,SheeleyForDel,Z,"A family of four earning $24,600, shouldn't have to worry about getting the healthcare they need.",
20,12,1,nan,SheeleyForDel,Z,We must to expand Medicaid in VA.,Medicaid in VA|| 
21,13,0,nan,BolindoMiss1975,Z,Ohio Sheriff Urges Trump to Send ICE Agents via @BreitbartNews GOOD.,Ohio Sheriff Urges Trump|| Send ICE Agents|| GOOD|| 
22,13,1,nan,BolindoMiss1975,Z,TAKE A STAND AGAINST ALL ILLEGALS AND EMPLOYERS,STAND|| ILLEGALS AND EMPLOYERS|| 
23,14,0,nan,NonsenseFinder,Z,Tiny Fey is just another idiot.,Tiny Fey|| 
24,14,1,nan,NonsenseFinder,Z,Ignore and don't bother with boycotting.,
25,14,2,nan,NonsenseFinder,Z,Don't stoop to their level on this one.,
26,15,0,nan,Entincity,Z,Watch the Norwegian Hardcore Band Veislakt Battle Donald Trump with a Lightsaber,Lightsaber|| 
27,16,0,nan,brooklynnycmike,Z,"""Trump Shifts Course on Egypt, Praising Its Authoritarian Leader"" by PETER BAKER and DECLAN WALSH via NYT The New …","""Trump Shifts Course on Egypt|| Praising|| NYT The New|| "
28,17,0,thetrumpreport,NJdivorce,Z,Ferrari once owned by Donald Trump sells for $270K in Fort Lauderdale | Video - Sun…,Donald Trump|| Fort Lauderdale|| Video|| 
29,18,0,nan,mojagebot,Z,Can Trump turn chaos into victory?,Trump|| 
30,19,0,nan,WCTest1,Z,Trump takes aim at tech's beloved H1-B visas - The Hill - The Hill Trump takes aim at tech's beloved H1-B visas...,H1-B|| The Hill|| The Hill Trump|| H1-B|| 
31,20,0,nan,_startalk_,Z,Yes in May to distract us 5/22/17 - US Mars return + Mars opposing Trump’s Moon,US Mars|| Mars|| Trump’s Moon|| 
32,20,1,nan,_startalk_,Z,5/24/17 Mars conjunct his Sun + square US Neptune,5/24/17 Mars|| US Neptune|| 
33,21,0,nonpoliticaltweet,Idofavorzforu,Z,@Bellla_Amore Trump's wall,Trump's|| 
34,22,0,nan,lawhawk,Z,@JerryLingle IMAX level projection.,IMAX|| 
35,22,1,nan,lawhawk,Z,Trump does it.,
36,22,2,nan,lawhawk,Z,McConnell does it.,
