candidate,freq,length,cap,start_of_sen,abbrv,all_cap,is_csl,title,has_no,date,is_apostrp,has_inter_punct,ends_verb,ends_adverb,change_in_cap,topic_ind,@mention,z_score
trump,857,1,857,5,7,10,30,0,0,0,116,8,0,0,0,0,0,48.8824741015
donald trump,95,2,95,38,0,0,2,0,0,0,13,1,0,0,0,0,0,5.31581958473
obama,63,1,63,0,1,1,3,0,0,0,10,0,0,0,0,0,0,3.48624879138
president trump,58,2,58,27,0,0,2,0,0,0,12,0,0,0,0,0,0,3.20037835492
susan rice,57,2,57,12,0,0,1,0,0,0,1,1,0,0,0,0,0,3.14320426762
white house,55,2,55,10,0,0,6,0,0,0,0,0,0,0,0,0,32,3.02885609304
us,48,1,48,0,43,47,0,0,0,0,0,0,0,0,0,0,0,2.62863748199
national park service,32,3,32,2,0,0,6,0,0,0,0,1,0,0,0,0,0,1.71385208532
russia,32,1,32,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1.71385208532
gorsuch,23,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19928529968
melania trump,22,2,22,9,0,0,0,0,0,0,5,0,0,0,0,0,0,1.14211121239
america,21,1,21,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0849371251
u.s,20,1,20,0,20,20,2,0,0,0,0,20,0,0,0,0,0,1.02776303781
fbi,19,1,19,0,13,19,0,0,0,0,0,0,0,0,0,0,20,0.970588950515
hillary,19,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970588950515
north korea,18,2,18,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.913414863223
iraq,18,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.913414863223
sisi,18,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.913414863223
rice,18,1,18,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0.913414863223
gop,17,1,17,0,13,16,0,0,0,0,1,0,0,0,0,0,6,0.85624077593
fox news,16,2,16,2,0,3,0,0,0,0,0,0,0,0,0,0,39,0.799066688638
kushner,16,1,16,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.799066688638
americans,16,1,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.799066688638
egypt,15,1,15,0,0,0,3,0,0,0,6,1,0,0,0,0,0,0.741892601346
china,15,1,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.741892601346
wh,14,1,14,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0.684718514053
president,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.684718514053
twitter,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.684718514053
tv,13,1,13,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0.627544426761
fox,13,1,13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.627544426761
russian,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627544426761
congress,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.627544426761
jared kushner,12,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.570370339468
supreme court,12,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570370339468
h-1b,12,1,12,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0.570370339468
nunes,11,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.513196252176
rt,10,1,10,3,8,10,6,0,0,0,0,0,0,0,0,0,0,0.456022164884
republicans,10,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.456022164884
putin,10,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.456022164884
democrats,10,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.456022164884
dems,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456022164884
the white house,9,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398848077591
ivanka trump,9,2,9,3,0,0,0,0,0,0,3,0,0,0,0,0,7,0.398848077591
nsc,9,1,9,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0.398848077591
