,tweetID,sentID,hashtags,user,usertype,TweetSentence,phase1Candidates
0,1,0,DAYTONA500,mayoroflasvegas,Government,@Brendan62 congrats on your 11th place finish at <Hashtag>.,
1,1,1,DAYTONA500,mayoroflasvegas,Government,What a story!,
2,1,2,DAYTONA500,mayoroflasvegas,Government,What a day for @CityOfLasVegas!,
3,2,0,Daytona500,simonpagenaud,Journalist,Great drive by @Blaney in the <Hashtag>!,Great|| 
4,2,1,Daytona500,simonpagenaud,Journalist,(Even though I'm sure he's bummed w/ 2nd) That one was survival of the fittest.,
5,2,2,Daytona500,simonpagenaud,Journalist,@Team_Penske,
6,3,0,Daytona500,ItsRachelHolt,Journalist,"Congratulations to @KurtBusch, who talked about what he had to do in order to win the <Hashtag> earlier this week.",
7,4,0,NASCAR,DarylMotte,Journalist,Very likely this has never happened in <Hashtag> history.,
8,4,1,NASCAR,DarylMotte,Journalist,Great start Kurt.,Great|| Kurt|| 
9,5,0,Daytona500,KirkNawrotzky,Journalist,Tune-in for the race this Sunday!,Tune-in|| 
10,5,1,Daytona500,KirkNawrotzky,Journalist,I'm excited to be the honorary starter for this years race.,
11,6,0,Daytona500,JKepnerWFTV,Journalist,Kyle Busch with some strong words on Goodyear following wreck.,Kyle Busch|| Goodyear|| 
12,7,0,nan,kevinfaiglewrdw,Journalist,@JimmieJohnson said guys being too aggressive with 72 laps to go in the race.,
13,7,1,nan,kevinfaiglewrdw,Journalist,Thought he had a shot at his 3rd  win.,Thought|| 
14,8,0,"daytona500, wreckfest",darrenrovell,Journalist,Any car that actually finishes this race should get a participation trophy <Hashtag1>  continues,
15,9,0,nan,EdwardEgrosFox4,Journalist,Monster Energy logos in this Daytona 500 changed how I think about the art.,Monster Energy|| Daytona 500|| 
16,10,0,"Daytona500, Oscars",TDesOrmeau,Journalist,"If I were to draw a Venn diagram, how many viewers would overlap between the <Hashtag1> and the <Hashtag2> Over/under please.",Venn|| Over/under|| 
17,11,0,nan,peakauto,Journalist,"As we see now, dedication and passion are key to success, well done Kurt.",Kurt|| 
18,12,0,Daytona500,TheeTedSmith,Journalist,Thank you @MW55 for an amazing career and finishing 8th today.,
19,12,1,Daytona500,TheeTedSmith,Journalist,You're truly a @NASCAR legend.,
20,13,0,Daytona500,Franklin_Graham,Journalist,I feel like running out of gas is the NASCAR equivalent of not tapping out in MMA,NASCAR|| MMA|| 
21,14,0,Daytona500,vickeller,Journalist,"drivers @TBayne6, @Mc_Driver &  @StenhouseJr are racing today--see what they said about Who they follow.",
