,Tweet,UserName
0,Hillary Clinton SHREDDED By General Colin Powell In Wikileaks Email https://t.co/dOnP7Pakmv,DarrenOatway
1,JUST IN: Hillary Clinton releases updated health information. Details next on FOX25 at 5 https://t.co/FhPScOuDUC https://t.co/uebaIshD1i,fox25news
2,Clinton campaign releases new health info: Hillary Clinton's campaign released additional medical information... https://t.co/8AWbK9AeBS,Armanifloxy
3,can we just get #HilaryClinton some new shades tho? #JustSayin https://t.co/nF1nbmWu5u,Bates23
4,"RT @brianefallon: NEW: Hillary Clinton releases additional health info, far exceeding what Donald Trump has disclosed
https://t.co/D4ATV6jg…",Steg68
5,"RT @brianefallon: NEW: Hillary Clinton releases additional health info, far exceeding what Donald Trump has disclosed
https://t.co/D4ATV6jg…",filoquecorta
6,"RT @ABCLiz: Hillary Clinton has now released two, two-page statements about her health history. One last summer &amp; one today: https://t.co/H…",LindaKWS1
7,"Hillary Clinton's new book sold 2,912 copies in its first week in bookstores https://t.co/tDumvF4oQ7 https://t.co/SyhddwDK6a",nytpolitics
8,Colin Powell: 'Hillary's Mafia' Hounded Me on Emails https://t.co/hOJggJ3ZXj via @Newsmax,VMcKilligan
9,"Concerns About Hillary Clinton's Health Abound, Poll Shows - Morning Consult https://t.co/myYNPHAqi0",S0AKER
10,Hillary Clinton's Legacy of Scandal https://t.co/59N1bLOVTG https://t.co/89x2o5XtKs,Conservatexian
11,"RT @mcgilh: Donald Trump's national gains extend to Florida, Ohio - https://t.co/VkQkIH6gF2 https://t.co/R84fUsFV56",blindtoitall
12,"RT @IanSams: Reminder: More than 2 weeks ago now, Trump told ABC he'd release his first. Didn't happen. https://t.co/tWanHySuDM https://t.c…",paul_esker
13,Clinton campaign releases new health info: Hillary Clinton's campaign released additional medical information... https://t.co/2qApRq2ZwL,DJBIGWIG
14,"Hillary Clinton “healthy and fit to serve"" as US president, says doctor, as campaign releases medical information https://t.co/CLPvHY0ELw",dimamisipm
15,#HillarysHealth  https://t.co/I744Bw38HQ,heykim
16,RT @diariocorreo: #HillaryClinton: demuestran que tiene una doble para remplazarla (FOTOS) ► https://t.co/CUpJAVKyLA,pierinaleon3
17,RT @BreakingNews: Hillary Clinton releases health information; doctor says 'she continues to remain healthy and fit to serve' - AP https://…,phaxyn
18,"#Healthy Until Dead, Uh?
#Blacks #BLM #Hispanics #Latinas #women #health #news #media #CNN #MSNBC #NBC #nytimes #la https://t.co/F1pJMrQycy",sunnyherring1
19,RT @CNN: Hillary Clinton's health charity to separate from foundation if Hillary wins https://t.co/xKkLd4WBQB https://t.co/TEvFe0PyO7,frankhenzen
20,"RT @DavidShuster: .@SenWhitehouse  Did u tell Jeff Leeds that @HillaryClinton could ""barely climb podium steps"" at event wi/ you?  https://…",dguisinger
21,Fresh Update:: Clinton campaign releases new health information: Hillary Clinton's campaign r... https://t.co/pCxOa1rGI5 Via @BadManWizz,askfast_ng
22,"RT @lib_crusher: Yes, the media's false equivalence between Trump and Clinton is stunning. That's no excuse for Hillary not to be winning b…",ozjimbob
23,"RT @stephenfhayes: HRC staff: Can someone tell him ASAP that we decided to go with pneumonia, not the flu? https://t.co/RB4NnuiQcP",kathleensmith4
24,RT @TwitterMoments: Hillary Clinton has some questions for Donald Trump after reading that @Newsweek article. https://t.co/jfyKQFBpFL,conni_taylor
25,Yep. 😂 https://t.co/8Wud5CYu2x,misstraceynolan
26,I added a video to a @YouTube playlist https://t.co/xIg4gFr3do SHOCKING !!! - ABC NEWS Joe Torres Reports HILLARY CLINTON IS DEAD On,CHELLEMARIS76
27,"Washington – Clinton Releases Updated Health Information, Doctor Says ‘Fit To Serve’: Washington – Hillary Cl... https://t.co/faK6U1t8JE",bestfeed2011
28,RT @ski95252: 5 emails in which Colin Powell slammed Hillary Clinton - Page 2 - CBS News https://t.co/6wzGZIhhaQ,Tia3Gia
29,RT @peterdaou: Find one fact I've gotten wrong this entire election. Good luck. https://t.co/w9nRJa35so,marieann66
30,RT @TPoliticmanager: #Uncategorized Wow! Bill Clinton NOW SAYS Hillary Has ‘The Flu’ — Not Pneumonia (Video) https://t.co/U0dMdiyzkM https:…,Concerned002
31,Clinton campaign releases new health info: Hillary Clinton's campaign released additional medical information... https://t.co/MWSjoyQfQr,jasonNelson6
32,"Washington – Clinton Releases Updated Health Information, Doctor Says ‘Fit To Serve’: Washington – Hillary Clinton’s doctor says she ...",VoslzNeias
33,RT @ABC7News: #BREAKING: Hillary Clinton releases updated health records; doctor says she's fit to serve: https://t.co/WzzoQUUMs3 https://t…,NewsChannel8
34,"Washington – Clinton Releases Updated Health Information, Doctor Says ‘Fit To Serve’: Washington – Hillary Cl... https://t.co/GT9LrS3jQg",JewishNewsFeeds
35,LIES! https://t.co/dge22TS6aJ,Willeamon
36,Hillary Clinton Sends Thank You Letter to “Slut” Who is “Proud of STDs” https://t.co/id4lCMtZCH https://t.co/U6z0lXOAR4,Charmed27N
37,RT @pinecohen: Colin Powell: Everything HRC touches she sort of screws up. https://t.co/AmXybs5noi #DNCleak #NHsen #nhpolitics #copolitics,schotts
38,"Donald Trump speech interrupted by pastor, scolds him for attacking Hillary Clinton https://t.co/vexdMSDOly",rsobelexaminer
39,Hillary Clinton Sends Thank You Letter to “Slut” Who is “Proud of STDs” https://t.co/IraTGT7zJJ https://t.co/UFPgW4HzIe|bB,brittbeuford
40,RT @YoungBLKRepub: Colin Powell sent this about Hillary Clinton and Bill Clinton. 😂 https://t.co/G9zsoN851M,SchatzelBen
41,RT @abc15: STORY: Hillary Clinton's doctor says she's 'fit to serve' https://t.co/DD9MM3bF9n #abc15 https://t.co/hzG0WCTfFK,MorganTanabe
42,RT @60th_Street: I see this diagnosis is impossible for the media to process after weeks of the Hillary on her deathbed narrative. https://…,Fishbooom
43,RT @AltRights: Want to laugh Hillary Clinton aids cant tweet fast enough every time they do someone links a #DNCLEAK to her twitter #DNC is…,stjohnswoods
44,RT @MSNBC: BREAKING: Hillary Clinton has released more details about her health. @stevekornacki and @DrJohnTorres discuss: https://t.co/pc7…,infinity4fcb
45,Hillary Clinton Releases Additional Information About Her Health https://t.co/Xsym3H37cc,Eva4organizing
46,Clinton campaign releases new health info: Hillary Clinton's campaign released additional medical information... https://t.co/uEWKlXOnbS,mega_gnosis
47,RT @OfficialYambo: 5 emails in which Colin Powell slammed Hillary Clinton https://t.co/QFZ8zdNbQH via @cbsnews,CindySmyth5
48,@pacificarising @Fixer_guy @donahuejm Assange Claims Hillary Threatened Bernie Sanders To Drop  [Updated] https://t.co/LwUpQXOTAi,HillaryGuess
49,"RT @NimbleNavgater: Bill: ""Hillary has the flu"" 
Hillary: ""I have allergies""
Clinton Campaign: ""Hillary has pneumonia""
American Public: ""Hi…",All4KSU
50,"Hillary Clinton Releases Additional Medical Information

https://t.co/4Jb4i3X5wk",JayandSteve
51,RT @thehill: Bill Clinton accidentally says Hillary has the flu https://t.co/P8CnjDJgVD https://t.co/sb9koB3VLk,Sawyernancy1
52,RT @KatyTurNBC: Pastor interrupts Trump in Flint to tell him not to give a political speech when he started to attack Hillary Clinton.,JustWalkinn
53,RT @TelcoJ: Trump: 'Why Isn't President Obama Working Instead of Campaigning for Hillary Clinton?' https://t.co/JEsskajUS5 -- #GoodQuestion,jwsnyder00_john
54,"Did anyone really believe her doctor would say something other than that? #TrumpDoc said ""he was fittest."" too 🙄 https://t.co/lgf5EcBWhd",OnlytoEngage
55,Hillary Clinton will use any excuse she can to get debates cancelled. I'm calling it now. #SickHillary #ClintonCollapse #HillarysHealth,alienatedalice
56,Horseshit https://t.co/pY6rqpKqcY,kreans
57,"RT @brianefallon: NEW: Hillary Clinton releases additional health info, far exceeding what Donald Trump has disclosed
https://t.co/D4ATV6jg…",jaristmtrs
58,she was on her phone 1 times too https://t.co/EfPXoju3ZN,JaeCreitch
59,"BBCBreaking: Hillary Clinton “healthy and fit to serve"" as US president, says doctor, as campaign releases medical… https://t.co/PwNNFPkUe8",PrometheusLaw
60,RT @DanRiehl: 5 emails in which Colin Powell slammed Hillary Clinton https://t.co/5k9yLcZRFJ,kking74914
61,"RT @BBCBreaking: Hillary Clinton “healthy and fit to serve"" as US president, says doctor, as campaign releases medical information https://…",AlbertLeopoldD
62,RT @Junebug1952: Media Hides Hillary Clinton's Religious Urge To Exile 'Irredeemable' Americans - Breitbart https://t.co/wYetGJsT1o,JadedByPolitics
63,"RT @DebtAssassin1: Hillary above the law Clinton doesn't bother to show up!
We would be in jailed for contempt
Legal system #deplorable
htt…",PartholonSon
64,Clinton campaign releases new health info: Hillary Clinton's campaign released additional medical information... https://t.co/NNfX53tXL8,wataboy_nidz
65,"RT @WeNeedTrump: First it's overheating, then it's pneumonia, now Bill Clinton claims Hillary has the flu. The lies never stop. #NeverHilla…",debbiegilreathj
66,RT @danmericaCNN: And here is the updated letter from Hillary Clinton's doctor: https://t.co/pNXZXEvimP,bmoschetti
67,"RT @peterdaou: When you see polls come out, read this: In a simulation of 500 possible outcomes, #Hillary defeats #Trump in 427 https://t.c…",Chelu61Frye
68,RT @juliamacfarlane: The two biggest swing states - latest polls via CNN put Trump comfortably ahead of Hillary https://t.co/4DsUWuN67V,maurlind
69,"RT @Kelli_Shaquan: Ok media, HRC released her medical records now. Can you all focus on something else now?  https://t.co/gcRKB56MuQ",grouperpro
70,Hillary Clinton Sends Thank You Letter to “Slut” Who is “Proud of STDs” https://t.co/TE5h45dEaH https://t.co/XCUxkWZ9hJ,KathySholtz
71,Campaign says Hillary Clinton is still resting at home but 'feeling bett.. Related Articles: https://t.co/jzPMmIwkg9,hillarynews1
72,"@HillaryClinton Ur Disgusting 
Ur medical record is a joke really thing anyone believes ur Lies #dncleaks TellsAll https://t.co/WeLiHDHpbO",SEAAdams2
73,Hillary Clinton Sends Thank You Letter to “Slut” Who is “Proud of STDs” https://t.co/T8Qivlu95o https://t.co/WlWKKsQ7sn,OlafTheGodi
74,Flashback: Here's what a close friend of the Clintons said about them in his diary https://t.co/A6NdTJOamG,JohnShepherd88
75,"Filling in for wife, Bill Clinton flubs Hillary diagnosis https://t.co/fBqMHpXpVv",Donald70448
76,Clinton campaign releases new health info: Hillary Clinton's campaign released additional medical information... https://t.co/p4M0KFlhux,bobbies635
77,"RT @PpollingNumbers: #NEW @CNN FL, OH Polls:

Florida:
Trump 47% (+3)
Clinton 44

Ohio:
Trump 46% (+5)
Clinton 41
https://t.co/5x5NBjbCy8 h…",JohnReesePOl
78,"RT @TheLibRepublic: Google Is Burying Negative Search Suggestions For Hillary Clinton
https://t.co/8LJqmkUzNA @google #Clinton #MAGA #Trump…",Paul1958John
79,RT @CRNC: All the polls are showing big jumps for @realDonaldTrump in swing states! Check out the most recent numbers here: https://t.co/51…,ArchangelMagicx
80,"RT @theblaze: Bill Clinton says Hillary has “the flu,” but his spokesman immediately walks that back: https://t.co/9rYIqp1lMP https://t.co/…",bdmontz
81,RT @NBCNews: Hillary Clinton releases additional medical information https://t.co/SRTzGph6p1 https://t.co/JOY4LqVwEG,yejnes
82,Überraschung! https://t.co/iUVgzAHITD,mr_nice_ei
83,"RT @PrisonPlanet: Bill says Hillary has ""the flu"" and that millions get it every year. Really? I thought she had pneumonia. https://t.co/uK…",antigravitypill
84,"RT @brianefallon: NEW: Hillary Clinton releases additional health info, far exceeding what Donald Trump has disclosed
https://t.co/D4ATV6jg…",globalextra
85,RT @amychozick: Hillary Clinton’s Doctor Says She Is ‘Recovering Well’ From Pneumonia https://t.co/F8qYxyI9eq,rockydapoet
86,"RT @WeNeedTrump: First it's overheating, then it's pneumonia, now Bill Clinton claims Hillary has the flu. The lies never stop. #NeverHilla…",RealTexan46
87,"Filling in for wife, Bill Clinton flubs Hillary diagnosis https://t.co/vWfAsVBGNm",Donald70448
88,Hillary Clinton to meet Egypt's Sisi next week: Campaign  https://t.co/YVnqpuPIwn via @ahramonline,Orgetorix
89,"https://t.co/Cuelf9ENla ←← #bokep #bokepupdate Milly Pepita Hillary Clinton releases updated health information, doctor says ‘she continue…",MillyPepita
90,Clinton campaign releases new health info: Hillary Clinton's campaign released additional medical information... https://t.co/jqrntLOcl5,bobbies635
91,Hillary Clinton Sends Thank You Letter to “Slut” Who is “Proud of STDs” https://t.co/Za7QcpBs8l https://t.co/LEIekViugJ,MissysMerry
92,"RT @PrisonPlanet: Bill says Hillary has ""the flu"" and that millions get it every year. Really? I thought she had pneumonia. https://t.co/uK…",joeydivito
93,Hillary Clinton Sends Thank You Letter to “Slut” Who is “Proud of STDs” https://t.co/mGcT1JQFCB https://t.co/825ZJGl38J|jB,anon0man
94,"Oh the media doesn't hold Donald J. Trump and Hillary Clinton to different standards?

Sure. Tell me another one.... https://t.co/6Vm9YpYtuF",4MoreYrsReElecO
95,"BBCWorld : RT BBCBreaking: Hillary Clinton “healthy and fit to serve"" as US president, says doctor, as campaign rel… https://t.co/FscBTjnJaa",jahirvai2
96,"to serve as...

corpse?
assisted living advertisement?
meals on wheels model?
 https://t.co/4QtYtZl7Kv",FoghornBLeghorn
97,"RT @aduanebrown: While Bill Clinton has been busy #DickingBimbos , Hillary has been Dicking the American people in favor of foreign governm…",TripawDaisy
98,"RT @SouthLoneStar: Huma Abedin, closest Hillary Clinton advisor, mocks Benghazi. Disgrace of America #DNCleak #Hillary4Prison https://t.co/…",ThAllenSBoucher
99,"BREAKING: Ohio and Florida tip to Trump

https://t.co/enyS7R0Aq3",occdissent
